简体中文(源),参考语言(英文),资源编码
请输入 js 脚本,Please enter the JS script,001208
使用 SSL,Use SSL,001277
端口号（默认POP3端口号110/SSL 995，默认IMAP端口号143、SSL 993）,"Port No. (default POP3 port No. 110/SSL 995; default IMAP port No. 143, SSL 993)",001278
正文保留 HTML 代码,Keep HTML code in body,001292
替换重复键值（true = 替换）,Replace duplicate key value (true = replace),001300
Socket 服务器 IP 地址,Socket Server IP Addr.,001305
请选择 Python 执行文件（python.exe）,Please select Python executable file (python.exe),001352
此命令允许您查找一个谷歌浏览器，但前提是谷歌浏览器启动时必须加上 --remote-debugging-port 参数。,"This command allows you to find a Google Chrome browser, but only if the --remote-debugging-port parameter is added when the browser starts.",001439
请输入复制的单元格区域。格式示范：A3:B10、C:F、2:3,"Please enter a range of cells to copy. Format example: A3:B10, C:F, and 2:3",001460
请输入单元格区域。格式示范：A3:B10、C:F、2:3,"Please enter the cell range. Format example: A3:B10, C:F, and 2:3",001545
请输入2019年度北京市国资委企业报表处理软件程序 Report19.exe 路径,Please enter the path of 2019 SASAC enterprise report processing software program Report19.exe for Beijing,001594
%s 的 %s数据格式不正确(%s),%s's %s data format is incorrect (%s),1010003000030
输入的长度不能超过%s位,Entry length cannot exceed %s characters,1010003000038
"属性转换为Entity异常,uri :%s,attrName:%s","Exception in transferring attribute to Entity. uri: %s, attrName: %s",1010003000053
编码前缀{0}的公式计算失败，请检查公式是否正确。,Formula calculation of code prefix {0} failed. Please check whether the formula is correct,1010800000025
参数({0})不能为空,Parameter ({0}) is required,30002
管理员将[activity]的审批人调整为[user],The administrator changed the approver of [activity] to [user].,adminAssignTo
APPROVED,APPROVED,approve.task.action.aprroved
REJECT,REJECT,approve.task.action.reject
取当前日期时间 示例：datetime(),Obtain current date time; example: datetime(),attendFormula.i18n1590
取当前日期的日 示例：day(),Obtain day of current date; example: day(),attendFormula.i18n1591
取当前日期的月份 示例：month(),Obtain month of current date; example: month(),attendFormula.i18n1592
取当前日期的年 示例：year(),Obtain year of current date; example: year(),attendFormula.i18n1593
取星期几 示例：weekday('2017-09-21')=5 提醒：日期不能为空,Access week day; example: weekday('2017-09-21')=5 Reminder: Date cannot be empty,attendFormula.i18n1595
取绝对值 示例：abs(-15)=15,Access absolute value; example: abs(-15)=15,attendFormula.i18n1596
"取最大值 示例：max(15,12)=15","Access Max value; example: max(15,12)=15",attendFormula.i18n1597
"取最小值 示例：min(15,12)=12","Access Min value; example: min(15,12)=12",attendFormula.i18n1598
"四舍五入 示例：round(27.7,0)=28；round(27.73,1)=27.7","Rounding; example: round(27.7,0)=28; round(27.73,1)=27.7",attendFormula.i18n1599
"取字符串中间从某个位置开始的几个字符 示例：mid('abcdefgh',3,2)='cd'","Access several characters starting from a certain position in the middle of string; example: mid('abcdefgh',3,2)='cd’",attendFormula.i18n1600
"如果为空，则返回0 示例：zeroifnull(x),若x为空，则返回0，否则返回x","If it is empty, 0 is returned. Example: zeroifnull(x). If x is empty, 0 is returned; otherwise x is returned",attendFormula.i18n1602
"是否非空 示例：ifnull(x,y)，若x非空，y为空，则返回x","Non-empty. Example: ifnull(x,y). If x is not empty and y is empty, x is returned",attendFormula.i18n1603
"条件判断 示例：iif(10>9,5,3),返回5","Condition evaluation. Example: iif(10>9,5,3), 5 is returned",attendFormula.i18n1604
"取字符串最左边的字符 示例：left('abcdefgh',2)='ab'","Access the leftmost character of the string. Example: left('abcdefgh',2)='ab’",attendFormula.i18n1605
"取字符串最右边的字符 示例：right('abcdefgh',2)='gh'","Access the rightmost character of the string. Example: right('abcdefgh',2)='gh’",attendFormula.i18n1606
"字符串拼接 示例：joinstring('a','b','_')='a_b'","Join string. Example: joinstring('a','b','_')='a_b'",attendFormula.i18n1607
启用失败：{0},enable failed:{0},bpm.datatype.start.failed
停用失败：{0},disable failed:{0},bpm.datatype.stop.failed
"只能导入*.bpmn20.xml,*.bpmn类型的文件!","Only *.bpmn20.xml, and *.bpmn type files can be imported","Can only import document type of *.bpmn20.xml,*.bpmn"
tenantId 为空,TenantId is empty,com.yonyou.workbench.manager.controller.Scheduling.SchedulingTaskController_0001
Agree to,Agree to,defaultBatchNote
"二维码已失效,<br>无法参与相关活动",QR code expired.<br>Cannot participate in related activities,errQRCodeExpired
凭证号:{0}没有审核权限。,No approval permission for voucher No. {0},ficloud.000053
查到多个组织为[%s]的业务账簿,Found multiple business accounting books of Org [%s],ficloud.000060
"已获得空间访问令牌:{0},有效时间是{1}小时",Space access token {0} obtained. Effective time: {1} hour(s),ficloud.000075
无法取得会计期间[%s]的编码!,Cannot obtain the code of fiscal period [%s],ficloud.000167
租户{0}  下 ID 为：{1} 的角色已经同步过！,Role ID {1} under tenant {0} has been synchronized,ficloud.000183
aes 加密失败,aes encryption failed,ficloud.000205
number 不能为空,number is required,ficloud.000219
租户{0}  下 ID 为：{1} 的用户已经同步过！,User ID {1} under tenant {0} has been synchronized,ficloud.000231
第{0}行[{1}]不存在。,[{1}] in line {0} does not exist,ficloud.000238
resourceTypeCode 不能为空,resourceTypeCode is required,ficloud.000268
创建角色[%s]失败,Failed to create role [%s],ficloud.000322
此账簿%s账期已结账，不能反关账,"Accounting book %s account Period has been closed, and cannot be re-opened",ficloud.000324
角色[%s]授权失败,Role [%s] authorization failed,ficloud.000325
会计期间%s还没有结账，不能跨期间结账,Fiscal period %s has not been closed. Cannot close across accounting periods,ficloud.000354
size 不能为空,size is required,ficloud.000359
token 为不合法,Invalid token,ficloud.000402
请求云审服务异常：{0},Exception in requesting cloud approval service: {0},ficloud.000426
userId 不能为空,userId is required,ficloud.000445
租户{0}  下 ID 为：{1} 的部门已经同步过！,Dept ID {1} under tenant {0} has been synchronized,ficloud.000448
此账簿%s账期已结账，不能操作凭证,Accounting book %s account Period has been closed. Voucher cannot be operated,ficloud.000462
accbook 不能为空,accbook is required,ficloud.000496
凭证号:{0}没有记账权限。,No posting permission for voucher No. {0},ficloud.000579
aes 解密失败,aes decryption failed,ficloud.000596
此账簿在%s会计期间已结账，不能操作凭证,The accounting book has been closed in %s fiscal period. Voucher cannot be operated,ficloud.000619
会计期间%s已经结账，不能跨期间反结账,Fiscal period %s has been closed. Cannot reverse closing across periods,ficloud.000684
tenantid 未设值,tenantid not set,ficloud.000685
tenantId 不能为空,tenantId is required,ficloud.000714
"{0}生成凭证失败,",{0} Failed to generate voucher,ficloud.000771
该现金流量被{0}“现金流量类型”引用，不允许删除！,The cash flow is referenced by {0} cash flow type. Cannot delete,ficloud.000815
token 为空,token is empty,ficloud.000831
在固定资产对账对照科目映射表没有定义[%s]的对应科目，请检查配置,The corresponding account of [%s] is not defined in fixed asset reconciliation cross-reference account mapping table. Please check the configuration,ficloud.000910
本账簿账期[%s]%s,Current Accounting Book Acct Period [%s]%s,ficloud.000912
利润中心[{0}]已被引用，无法删除。,"Profit center [{0}] has been referenced, and cannot be deleted",ficloud.000913
注册账簿调度任务失败:%s账簿id为空,Failed to register accounting book scheduling task: %s accounting book ID is empty,ficloud.000919
此账簿不包含会计期间%s!,The accounting book doesn't contain fiscal period %s,ficloud.000922
查不到id为%s的账簿!,Cannot find accounting book ID %s,ficloud.000923
查不到id为%s的业务账簿!,Cannot find business accounting book ID %s,ficloud.000924
"新增科目编码:{0},不符合编码规则:{1}",Added account code {0} does not conform to coding rule {1},ficloud.000926
当前科目[%s]已被下级科目表[%s]引用不能删除,"Current account [%s] has been referenced by child chart of accounts [%s], and cannot be deleted",ficloud.000927
execl 文件格式不正确， 必须不少于5 列,Incorrect Excel file format. No. of columns cannot be less than 5,ficloud.000928
第 [%s] 行 会计要素 不能为空,"In line [%s], accounting element is required",ficloud.000929
第 [%s] 行会计要素 [%s] 未找到,"In line [%s], accounting element [%s] is not found",ficloud.000930
第 [%s] 行 编码 不能为空,"In line [%s], code is required",ficloud.000931
第 [%s] 行 名称 不能为空,"In line [%s], name is required",ficloud.000932
第 [%s] 行 编码  [%s] 不符编码规则 [%s],"In line [%s], code [%s] doesn't conform to coding rule [%s]",ficloud.000933
第 [%s] 行 编码  [%s] 与派生科目表中重复,"In line [%s], code [%s] is the same as that in the derived chart of accounts",ficloud.000934
第 [%s] 行 余额方向 不能为空,"In line [%s], balance direction is required",ficloud.000935
"第 [%s] 行 余额方向 [%s] 不正确, 余额方向只可以未 借 或 贷","In line [%s], balance direction [%s] is incorrect. Balance direction can only be debit or credit",ficloud.000936
第 [%s] 行 辅助核算项  [%s] 不存在,"In line [%s], auxiliary accounting item [%s] does not exist",ficloud.000937
云审同步默认部门异常：{0},Exception in synchronizing the default Dept of cloud approval: {0},ficloud.000938
保存部门之间的关联关系异常：本地ID为{0}的部门对应云审部门ID为空！,Exception in saving the association between Depts: the cloud approval Dept ID corresponding to local Dept ID {0} is empty,ficloud.000941
云审删除用户角色关联关系异常：{0},Exception in deleting user/role association of cloud approval: {0},ficloud.000944
请求云审服务参数异常：{0},Exception in requesting cloud approval service parameter: {0},ficloud.000945
云审查询用户异常：{0},Exception in querying user of cloud approval: {0},ficloud.000947
租户:%s systemCode:%s 用户id:%s 用户mobile:%s:用户中心查询不到此用户,Tenant: %s systemCode: %s user id: %s user mobile: %s: cannot find the user in user center,ficloud.000949
拆分：{0} cnt : {1},Split: {0} cnt: {1},ficloud.000952
匹配：{0} 等于 {1},Match: {0} equals {1},ficloud.000953
没有id为%s的账簿!,No accounting book ID %s,ficloud.000956
此账簿账期:%s 已结账，不能重复结账,Accounting book account Period %s has been closed. Cannot close again,ficloud.000958
此账簿不包含会计期间%s，不能结账,The accounting book doesn't contain fiscal period %s. Cannot close,ficloud.000960
此账簿不包含会计期间%s，不能取消结账,The accounting book doesn't contain fiscal period %s. Cannot cancel closing,ficloud.000961
此账簿账期:%s未结账，不用取消结账,Accounting book account Period %s is not closed. No need to cancel closing,ficloud.000962
试算平衡检查:{0},Trial balance check: {0},ficloud.000963
凭证删除后操作异常:{0},Operation exception after deleting voucher: {0},ficloud.000969
凭证[%s]账期[%s]已审核，无法删除！,Voucher [%s] has already been approved in account Period [%s]. Cannot delete,ficloud.000970
凭证[%s]账期[%s]已记账，无法删除！,Voucher [%s] has already been posted in account Period [%s]. Cannot delete,ficloud.000971
【处理时间】doSave ,[Processed At] doSave,ficloud.000973
【处理时间】doUpdate ,[Processed At] doUpdate,ficloud.000975
缺少[{0}]:[{1}]权限。,[{0}]:[{1}] permission missing,ficloud.000976
凭证[%s]加锁失败，请稍后重试！,Failed to lock voucher [%s]. Please try again later,ficloud.000977
未找到对应凭证[%s],Cannot find the corresponding voucher [%s],ficloud.000978
删除凭证发生如下错误:{0},The following error occurred while deleting voucher: {0},ficloud.000979
"凭证号:{0},已记账,不能重复记账！","Voucher No. {0} has been posted, and cannot be posted again",ficloud.000980
"凭证号:{0},已经记账，不能取消审核！",Voucher No. {0} has been posted. Cannot revoke approval,ficloud.000981
"凭证号:{0},{1}","Voucher No.: {0}, {1}",ficloud.000983
"凭证号:{0},已经审核，不能重复审核！",Voucher No. {0} has been approved. Cannot approve again,ficloud.000984
"凭证号:{0},审核失败!",Failed to approve voucher No. {0},ficloud.000985
此账簿账期:%s 已结账，不能操作凭证.,Accounting book account Period %s has been closed. Voucher cannot be operated,ficloud.000986
"凭证号:{0},未审核，不能取消审核！",Voucher No. {0} is not approved. Cannot revoke approval,ficloud.000987
"凭证号:{0},取消审核失败!",Failed to revoke approval of voucher No. {0},ficloud.000988
"凭证号:{0},未审核,不能记账！",Voucher No. {0} is not approved. Cannot post,ficloud.000989
"凭证号:{0},记账失败!",Posting of voucher No. {0} failed,ficloud.000990
"凭证号:{0},未记账,不能取消记账！",Voucher No. {0} is not posted. Cannot cancel posting,ficloud.000991
"凭证号:{0},取消记账失败!",Failed to cancel posting of voucher No. {0},ficloud.000992
数据权限异常：{0},Data permission exception: {0},ficloud.000993
断号表初始化:{0},Incontinuous No. table initialization: {0},ficloud.000994
"凭证号{0},取号异常，请检查数据正确性！",Exception in fetching voucher No. {0}. Please check whether the data is correct,ficloud.000995
未找到ID为[%s]相应凭证！,Cannot find voucher ID [%s],ficloud.000996
"临时凭证ID:{0},{1}","Temp voucher ID: {0}, {1}",ficloud.000997
未找到ID为[%s]的临时凭证！,Cannot find temp voucher ID [%s],ficloud.000999
科目%s原币没有合法的值！,No valid value for account %s in OC,ficloud.001000
"科目:{0},必须完整录入辅助核算信息，请修改",Auxiliary accounting Info must be entered completely for account {0}. Please modify,ficloud.001001
生成管理凭证:{0},Generate Mgmt voucher: {0},ficloud.001002
公式[{0}]表体输入参数为空,The parameter entered in the detail of formula [{0}] is empty,ficloud.001003
公式[{0}]表体输入摘要参数为空,The Abstract parameter entered in the detail of formula [{0}] is empty,ficloud.001004
公式[{0}]参数为空,Formula {0} parameter is empty,ficloud.001005
公式[{0}]表体输入档案转换摘要参数为空,The file conversion Abstract parameter entered in the detail of formula [{0}] is empty,ficloud.001006
公式[{0}]表体输入档案查出为空,The file entered in the detail of formula [{0}] is empty,ficloud.001007
结果异常:{0},Result exception: {0},ficloud.001008
公式[{0}]参数不能为空,Formula {0} parameter is required,ficloud.001009
会计主体[{0}]不存在,Accounting entity {0} does not exist,ficloud.001010
科目[{0}]不存在,Account {0} does not exist,ficloud.001011
辅助公式[{0}]解析出错:,Error in resolving auxiliary formula [{0}]:,ficloud.001012
科目公式[{0}]解析出错:,Error in resolving account formula [{0}]:,ficloud.001013
该账簿下未找到该科目[{0}]!,Cannot find account [{0}] in the accounting book,ficloud.001014
"该账簿下未找到科目[{0}],请先设置科目转换!",Cannot find account [{0}] in the accounting book. Please set account conversion first,ficloud.001015
金额公式[{0}]解析出错:,Error in resolving Amt formula [{0}]:,ficloud.001016
金额公式[{0}]解析出金额为空!,The resolved Amt of Amt formula [{0}] is empty,ficloud.001017
金额公式[{0}]解析出不是金额!,No Amt resolved by Amt formula [{0}],ficloud.001018
"金额公式[{0}]解析出金额为0,忽略该分录模版!",The resolved Amt of Amt formula [{0}] is 0. Ignore the entry template,ficloud.001019
由模版生成的凭证[{0}]在期间[{1}]已经审核，无法修改或删除！,Voucher [{0}] generated from template has been approved in period [{1}]. Cannot modify or delete,ficloud.001020
由模版生成的凭证[{0}]在期间[{1}]已经记账，无法修改或删除！,Voucher [{0}] generated from template has been posted in period [{1}]. Cannot modify or delete,ficloud.001021
该账簿在%s会计期间已结账，不能操作生成凭证.,The accounting book has been closed in %s fiscal period. Voucher cannot be generated,ficloud.001022
账簿[{0}]下没有该模版[{1}].,Accounting book [{0}] doesn't contain template [{1}],ficloud.001023
账簿[{0}]下没有模版中设置的会计主体.,Accounting book [{0}] doesn't contain the accounting entity set in the template,ficloud.001024
模版[{0}],Template [{0}],ficloud.001025
{0}生成凭证成功.,{0} Voucher generated successfully,ficloud.001026
{0}已结转但不生成凭证.,"{0} Carried forward, but voucher not be generated",ficloud.001027
{0}正在处理中.,{0} Being processed,ficloud.001028
{0}未结转与生成.,{0} Not carried forward/generated,ficloud.001029
{0}为框架期末结转凭证，不能自动生成凭证.,{0} is frame closing carry-forward voucher. Vouchers cannot be automatically generated,ficloud.001030
{0}不是期末结转凭证，不生成凭证.,{0} is closing carry-forward voucher. Do not generate voucher,ficloud.001031
未找到该数据：{0},No such data found: {0},ficloud.001032
外部服务凭证模版实现类未找到:{0},External service voucher template implementation class not found: {0},ficloud.001033
外部服务凭证模版实现类不符合要求:{0},Unqualified external service voucher template implementation class: {0},ficloud.001034
外部服务凭证模版实现类初始化失败:{0},Failed to initialize external service voucher template implementation class: {0},ficloud.001035
币种找不到:{0},Cannot find currency: {0},ficloud.001037
币种汇率找不到:{0},Cannot find currency exchange rate: {0},ficloud.001038
未找到该账簿[{0}]汇兑收益科目,Exchange gain account of accounting book [{0}] not found,ficloud.001039
未找到该账簿[{0}]汇兑损失科目,Exchange loss account of accounting book [{0}] not found,ficloud.001040
未找到该账簿[{0}]本年利润科目,Current year profit account of accounting book [{0}] not found,ficloud.001041
aes xml解析失败,Failed to resolve aes xml,ficloud.001052
aes sha加密生成签名失败,Failed to generate signature upon encrypting aes sha,ficloud.001053
aes SymmetricKey非法,Invalid aes SymmetricKey,ficloud.001054
aes corpid校验失败,aes corpid verification failed,ficloud.001055
aes 解密后得到的buffer非法,Invalid buffer obtained after decrypting aes,ficloud.001056
添加账户对照信息失败(db error),Failed to add account cross-reference Info (db error),ficloud.001062
"获得access_token出错,请求参数suite_id:{0},suite_secret:{1},suite_ticket:{2};返回结果:{3}","Error in obtaining access_token. Requested parameter suite_id: {0}, suite_secret: {1}, suite_ticket: {2}; returned result: {3}",ficloud.001067
"获得永久授权码失败,请求参数suite_id:{0},auth_code:{1},token:{2};返回结果:{3}","Failed to obtain permanent authorization code. Requested parameter suite_id: {0}, auth_code: {1}, token: {2}; returned result: {3}",ficloud.001068
"空间名称:{0},空间Id:{1}的永久授权码:{2}","Space name: {0}, space ID: {1}'s permanent authorization code: {2}",ficloud.001069
"获得空间访问令牌失败,请求参数suite_id:{0},permanent_code:{1};返回结果:{2}","Failed to obtain space access token. Requested parameter suite_id: {0}, permanent_code:{1}; returned result: {2}",ficloud.001070
id:%s位于上级的上级中,id:%s is in the superior of the superior,ficloud.001071
找不到id为%s的基础档案,Cannot find basic file ID %s,ficloud.001072
未找到DOCTYOE：{0},Cannot find DOCTYOE: {0},ficloud.001111
科目多维结构辅助项设置有错误，设置了多项辅助项：{0},Account multi-dimensional structure supplementary item setting error. Multiple supplementary items set: {0},ficloud.001112
利润中心：{0},Profit Center: {0},ficloud.001115
账簿：{0},Accounting Book: {0},ficloud.001116
币种：{0},Currency: {0},ficloud.001117
科目：{0},Account: {0},ficloud.001118
科目：{0} {1},Account: {0} {1},ficloud.001119
"'本月合计' as description, ","Current Month Total' as description,",ficloud.001121
"'年初发生' as description,","Year-beginning Amt' as description,",ficloud.001122
"'期初余额' as description,","Opening Bal' as description,",ficloud.001123
{0}[{1}级科目],{0}[{1} Level Acct],ficloud.001124
基本档案-{0}-导入模板,Basic Files - {0} - Import Template,ficloud.001134
"无法找到名称为[{0}]的档案,请检查导入文件内容是否正确!",Cannot find file name [{0}]. Please check whether the imported file content is correct,ficloud.001135
利润中心参照:{0},Profit Center Reference: {0},ficloud.001137
科目参照：{0},Account Reference: {0},ficloud.001138
银行账户参照参照：{0},Bank Acct Reference: {0},ficloud.001139
委托核算会计主体：{0},Delegated Accounting Entity: {0},ficloud.001140
币种参照 出错:{0},Currency reference error: {0},ficloud.001141
保存失败:{0},Failed to save: {0},ficloud.001142
修改失败:{0},Failed to modify: {0},ficloud.001143
查询失败:{0},Failed to query: {0},ficloud.001145
"任务已提交,执行ID:{0}",Task submitted. Execution ID: {0},ficloud.001147
第 [%s] 行辅助核算项不能为空,"In line [%s], auxiliary accounting item is required",ficloud.001157
科目 [{0}:{1}] 数据有问题，请检查!,Account [{0}:{1}] data is incorrect. Please check,ficloud.001158
导入模板-%s-期间%s,Import Template - %s - Period %s,ficloud.001159
页签 [%s] 下存在币种为空的导入行，请检查!,Tab [%s] contains imported lines with no currency. Please check,ficloud.001160
页签 [%s] 下的科目 [%s] 在当前账簿下不存在，请检查!,Tab [%s]'s account [%s] doesn't exist in the current accounting book. Please check,ficloud.001161
页签 [%s] 下的科目 [%s] 对应的导入行币种与当前币种不符，请检查!,The currency in the corresponding imported line of tab [%s]'s account [%s] is inconsistent with the current currency. Please check,ficloud.001162
页签 [%s] 下的科目 [%s] 对应的导入行会计主体与当前会计主体不符，请检查!,The accounting entity in the corresponding imported line of tab [%s]'s account [%s] is inconsistent with the current accounting entity. Please check,ficloud.001163
页签 [%s] 下的科目 [%s] 的辅助核算项 [%s] 的录入值  [%s] 在系统中不存在 ，请检查!,"For tab [%s]'s account [%s], auxiliary accounting item [%s]'s value entered [%s] doesn't exist in the system. Please check",ficloud.001164
查询附件结果集：id:{0},Attachment query result set: id: {0},ficloud.001166
不明确的凭证状态类型[%s],Unclear voucher status type [%s],ficloud.001167
凭证中的科目不属于此账簿:{0},Account in the voucher doesn't belong to this accounting book: {0},ficloud.001169
【处理时间】setExtention ,[Processed At] setExtention,ficloud.001170
查询凭证模板参数设置error：{0},Error in querying voucher template parameter settings: {0},ficloud.001171
{0}结转失败:{1},{0} carry-forward failed: {1},ficloud.001175
此账簿%s账期已结账，不能整理凭证号！,Accounting book %s account Period has been closed. Cannot collate voucher number,ficloud.001176
【友空间登录】  targetUrl : {0},[YouZone Login] targetUrl: {0},ficloud.001177
【友空间授权】  qzId : {0} tempCode : {1},[YouZone Authorization] qzId: {0} tempCode: {1},ficloud.001178
【友空间授权】  获取友空间suiteAccessToken  code : {0} suiteAccessToken : {1},[YouZone Authorization] Obtain YouZone suiteAccessToken code: {0} suiteAccessToken: {1},ficloud.001179
【友空间登录】  获取友空间permanentCode  code : {0} permanentCode : {1},[YouZone Login] Obtain YouZone permanentCode code: {0} permanentCode: {1},ficloud.001180
【友空间授权】  获取友空间suiteAccessToken  qzId : {0} suiteAccessToken : {1},[YouZone Authorization] Obtain YouZone suiteAccessToken qzId: {0} suiteAccessToken: {1},ficloud.001181
【友空间登录】  获取友空间permanentCode  qzId : {0} permanentCode : {1},[YouZone Login] Obtain YouZone permanentCode qzId: {0} permanentCode: {1},ficloud.001182
【友空间登录】  获取友空间accessToken  qzId : {0} accessToken : {1},[YouZone Login] Obtain YouZone accessToken qzId: {0} accessToken: {1},ficloud.001183
【友空间登录】  qzId : {0} code : {1},[YouZone Login] qzId: {0} code: {1},ficloud.001184
【友空间登录】  获取友空间accessToken  code : {0} accessToken : {1},[YouZone Login] Obtain YouZone accessToken code: {0} accessToken: {1},ficloud.001185
【友空间登录】  获取友户通临时Token  code : {0} json : {1},[YouZone Login] Obtain EUC temp Token code: {0} json: {1},ficloud.001186
【友空间登录】  获取友户通登录Token code : {0} json : {1},[YouZone Login] Obtain EUC login Token code: {0} json: {1},ficloud.001187
【友空间登录】  redirectUrl : {0},[YouZone Login] redirectUrl: {0},ficloud.001188
【随时记转发】  code : {0},[RAT Forward] code: {0},ficloud.001189
【随时记转发】  token : {0},[RAT Forward] token: {0},ficloud.001190
【随时记转发】  redirectUrl : {0},[RAT Forward] redirectUrl: {0},ficloud.001191
size 需为整型数据(>0),size must be of integer type (>0),ficloud.001193
number 需为整型数据(>0),number must be of integer type (>0),ficloud.001194
操作失败:{0},Operation failed: {0},ficloud.001195
总账科目打印异常: {0},Error printing GL account: {0},ficloud.001196
辅助余额表打印异常: {0},Error printing auxiliary balance report: {0},ficloud.001197
辅助明细表打印异常：{0},Exception in printing auxiliary details: {0},ficloud.001198
明细账打印异常：{0},Exception in printing sub-ledger: {0},ficloud.001202
{0}: 分组：,{0}: group:,ficloud.001204
描述[description]超过最大长度[255],The description [description] exceeds the limit of [255],ficloud.001210
页签 [%s] 下的项目 [%s] 在当前账簿下不存在，请检查!,Item [%s] in tab [%s] doesn't exist in the current accounting book. Please check,ficloud.001232
页签 [%s] 下的项目 [%s] 对应的导入行会计主体与当前会计主体不符，请检查!,The accounting entity in the corresponding imported line of item [%s] in tab [%s] is inconsistent with the current accounting entity. Please check,ficloud.001233
导出期初-%s-期间%s,Export opening -%s- period %s,ficloud.001245
新增常用摘要行数{0},New General Abstract Lines {0},ficloud.001249
{0}不能为空!,{0} cannot be blank.,ficloud.001261
"该{0}已删除,请刷新页面!",This {0} has been deleted. Please refresh,ficloud.001262
该{0}正在处理，请稍后重试!,This {0} is being processed. Please try again later,ficloud.001263
账簿{0}没有配置结转模板!,The account book {0} is not configured with a carry-forward template,ficloud.001269
"该凭证类型已被引用, {0}不可修改!",The voucher type has been referenced. {0} cannot be modified,ficloud.001276
凭证[%s]超出当前用户数据权限范围，无法进行，请重新设置数据权限后再试！,Voucher [%s] is beyond the data permission of the current user. Please reset data permission and try again,ficloud.001277
凭证号:%s，,"Voucher No.: %s,",ficloud.001357
"上传完成, fileId: ",Uploading completed. fileId:,ficloud.001417
暂存的凭证无法%s！,Cannot perform %s on draft voucher,ficloud.001455
已作废的凭证无法%s！,Cannot perform %s for voided voucher,ficloud.001490
凭证已记账，无法%s！,Voucher has been posted. Cannot %s,ficloud.001511
错误凭证%s失败！请先修改错误！,Error voucher %s failed Modify error first,ficloud.001513
外系统凭证，无法%s！,It's external system voucher. Cannot %s,ficloud.001518
凭证号:%s，只有审核人才能取消审核!,"For voucher No. %s, approval can only be revoked by the approver",ficloud.001519
科目%s缺少币种！,Currency missing in account %s,ficloud.001520
科目%s原币及本币缺少值！,OC and FC of account %s are missing,ficloud.001526
凭证已审核，无法%s！,Voucher has been approved. Cannot %s,ficloud.001527
凭证中的科目不属于此账簿:{0}科目表:{1},"Account in the voucher doesn't belong to accounting book: {0}, chart of accounts: {1}",ficloud.001528
期末结转凭证，无法%s！,It's a closing carry-forward voucher. Cannot %s,ficloud.001530
二级会计主体[{0}]已被引用，无法删除。,Level-2 accounting entity [{0}] has been referenced and cannot be deleted,ficloud.001542
成本中心[{0}]已被引用，无法删除。,Cost center accounting [{0}] has been referenced and cannot be deleted,ficloud.001543
二级会计主体[{0}]已被[{1}]引用，无法删除。,Level-2 accounting entity [{0}] has been referenced by [{1}] and cannot be deleted,ficloud.001544
成本中心[{0}]已被[{1}]引用，无法删除。,Cost center accounting [{0}] has been referenced by [{1}] and cannot be deleted,ficloud.001545
未找到{0}的档案类型,Failed to find file type {0},ficloud.001589
